Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,107494,Trey Sanders,RB,Alabama,SEC,0.095,2.023,4.7%,7,0,0,27.6%,49.8%,3.00
2021,3682406,Daniel Imatorbhebhe,TE,Kansas State,Big 12,0.038,2.012,1.9%,9,0,0,23.7%,57.6%,1.00
2021,3895797,Tre Tipton,WR,Pittsburgh,ACC,0.022,1.807,1.2%,17,0,0,32.2%,51.6%,1.00
2021,3926231,Britain Covey,WR,Utah,Pac-12,0.078,1.764,4.4%,5,0,0,25.4%,64.0%,1.00
2021,4027873,Samori Toure,WR,Nebraska,Big Ten,0.076,1.983,3.8%,6,0,0,27.9%,45.6%,1.00
2021,4029426,Chris Booker,WR,Ohio State,Big Ten,0.023,2.154,1.1%,18,0,0,25.7%,42.9%,1.00
2021,4030947,Drew Estrada,WR,Baylor,Big 12,0.069,1.715,4.0%,6,0,0,25.5%,60.1%,1.00
2021,4032625,Ra'Shaun Henry,WR,Virginia,ACC,0.065,1.760,3.7%,9,0,0,40.7%,60.5%,1.00
2021,4034779,Ko Kieft,TE,Minnesota,Big Ten,0.018,2.047,0.9%,14,0,0,18.8%,54.3%,1.00
2021,4034857,Patrick O'Brien,QB,Washington,Pac-12,0.030,2.016,1.5%,17,0,0,26.7%,46.1%,1.00
2021,4034860,JD Spielman,WR,TCU,Big 12,0.042,2.366,1.8%,13,0,0,22.1%,50.9%,1.00
2021,4034963,Rick Wells,WR,Florida,SEC,0.042,1.753,2.4%,14,0,0,30.2%,51.3%,1.00
2021,4035065,Justin Rigg,TE,Kentucky,SEC,0.029,1.563,1.9%,12,0,0,33.9%,57.2%,1.00
2021,4035100,Micah Wilson,WR,Missouri,SEC,0.019,2.039,0.9%,19,0,0,25.6%,55.9%,1.00
2021,4035106,Dawson Downing,RB,Missouri,SEC,0.064,2.039,3.1%,8,0,0,25.6%,55.9%,1.00
2021,4035167,Jarrett Guarantano,QB,Washington State,Pac-12,0.453,1.942,23.3%,2,0,1,26.8%,61.4%,1.00
2021,4035312,Anthony Brown,QB,Oregon,Pac-12,0.572,1.862,30.7%,1,1,1,30.7%,59.1%,1.00
2021,4035319,Kobay White,WR,Boston College,ACC,0.031,2.001,1.5%,14,0,0,21.3%,53.6%,1.00
2021,4035525,Zeb Noland,QB,South Carolina,SEC,0.254,2.054,12.4%,3,0,1,26.4%,53.8%,1.00
2021,4035526,Chase Allen,TE,Iowa State,Big 12,0.051,1.777,2.9%,11,0,0,31.9%,61.0%,1.00
2021,4035576,T.J. Hammonds,RB,Arkansas,SEC,0.016,1.578,1.0%,19,0,0,30.9%,48.0%,1.00
2021,4035693,Velus Jones Jr.,WR,Tennessee,SEC,0.081,2.079,3.9%,9,0,0,23.7%,41.4%,1.00
2021,4035695,Vavae Malepeai,RB,USC,Pac-12,0.138,2.071,6.7%,5,0,0,22.8%,56.1%,1.00
2021,4035721,Jackson Anthrop,WR,Purdue,Big Ten,0.094,2.176,4.3%,6,0,0,23.7%,46.8%,1.00
2021,4035770,Jack Dunn,WR,Wisconsin,Big Ten,0.027,1.651,1.6%,15,0,0,21.7%,54.0%,1.00
2021,4035776,Kendric Pryor,WR,Wisconsin,Big Ten,0.070,1.651,4.2%,8,0,0,21.7%,54.0%,1.00
2021,4035818,Theo Howard,WR,Utah,Pac-12,0.031,1.764,1.8%,14,0,0,25.4%,64.0%,1.00
2021,4035821,Matt Lynch,TE,Colorado,Pac-12,0.019,1.652,1.2%,18,0,0,30.3%,54.4%,1.00
2021,4035838,Jordan Wilson,TE,Florida State,ACC,0.025,1.869,1.3%,16,0,0,26.9%,59.3%,1.00
2021,4035847,Melquise Stovall,WR,Pittsburgh,ACC,0.030,1.807,1.7%,13,0,0,32.2%,51.6%,1.00
2021,4035851,Demetris Robertson,WR,Auburn,SEC,0.078,1.982,3.9%,7,0,0,27.3%,53.6%,1.00
2021,4035854,Collin Moore,TE,California,Pac-12,0.018,2.197,0.8%,18,0,0,31.0%,66.1%,1.00
2021,4035912,Kwamie Lassiter II,WR,Kansas,Big 12,0.111,2.121,5.2%,5,0,0,20.4%,50.2%,1.00
2021,4036032,Brittain Brown,RB,UCLA,Pac-12,0.169,1.676,10.1%,4,0,0,31.3%,58.2%,1.00
2021,4036164,Dylan Parham,TE,NC State,ACC,0.016,1.720,0.9%,17,0,0,34.2%,57.8%,1.00
2021,4036168,C.J. Riley,WR,NC State,ACC,0.037,1.720,2.2%,14,0,0,34.2%,57.8%,1.00
2021,4036262,Brandon Peters,QB,Illinois,Big Ten,0.369,2.154,17.1%,2,0,1,21.5%,52.6%,1.00
2021,4036419,Skylar John Thompson,QB,Kansas State,Big 12,0.476,2.012,23.7%,1,1,1,23.7%,57.6%,1.00
2021,4036650,Shai Werts,WR,Louisville,ACC,0.032,1.778,1.8%,15,0,0,32.8%,51.8%,1.00
2021,4037217,Brandon Chapman,TE,Wake Forest,ACC,0.021,1.730,1.2%,17,0,0,33.4%,49.7%,1.00
2021,4037456,Jovani Haskins,TE,Rutgers,Big Ten,0.028,1.746,1.6%,16,0,0,25.7%,45.4%,1.00
2021,4037532,Garrett Walston,TE,North Carolina,ACC,0.037,2.081,1.8%,13,0,0,30.5%,48.7%,1.00
2021,4037564,Jahcour Pearson,WR,Ole Miss,SEC,0.050,1.698,2.9%,11,0,0,30.5%,51.1%,1.00
2021,4037631,Abdul Adams,RB,Syracuse,ACC,0.050,1.837,2.7%,7,0,0,28.3%,67.8%,1.00
2021,4038438,La'Darren Brown,RB,Oklahoma State,Big 12,0.125,2.221,5.6%,4,0,0,24.4%,53.8%,1.00
2021,4038961,Cam McCormick,TE,Oregon,Pac-12,0.014,1.862,0.8%,19,0,0,30.7%,59.1%,3.00
2021,4039008,Kamari Pleasant,RB,Washington,Pac-12,0.138,2.016,6.8%,5,0,0,26.7%,46.1%,1.00
