Season,Team,Conference,Points For,Points Against,Win,Game,Loss
2021,Illinois,Big Ten,30,22,1,1,0
2021,UCLA,Pac-12,44,10,1,1,0
2021,NC State,ACC,45,0,1,1,0
2021,Utah,Pac-12,40,17,1,1,0
2021,Tennessee,SEC,38,6,1,1,0
2021,Minnesota,Big Ten,31,45,0,1,1
2021,Arizona State,Pac-12,41,14,1,1,0
2021,Virginia Tech,ACC,17,10,1,1,0
2021,Wake Forest,ACC,42,10,1,1,0
2021,Kansas,Big 12,17,14,1,1,0
2021,Colorado,Pac-12,35,7,1,1,0
2021,Northwestern,Big Ten,21,38,0,1,1
2021,Rutgers,Big Ten,61,14,1,1,0
2021,Oklahoma,Big 12,40,35,1,1,0
2021,Kansas State,Big 12,24,7,1,1,0
2021,Kentucky,SEC,45,10,1,1,0
2021,Michigan,Big Ten,47,14,1,1,0
2021,Wisconsin,Big Ten,10,16,0,1,1
2021,Boston College,ACC,51,0,1,1,0
2021,Nebraska,Big Ten,52,7,1,1,0
2021,Arkansas,SEC,38,17,1,1,0
2021,Oregon,Pac-12,31,24,1,1,0
2021,Miami,ACC,13,44,0,1,1
2021,Maryland,Big Ten,30,24,1,1,0
2021,Iowa,Big Ten,34,6,1,1,0
2021,Mississippi State,SEC,35,34,1,1,0
2021,Pittsburgh,ACC,51,7,1,1,0
2021,Missouri,SEC,34,24,1,1,0
2021,Texas,Big 12,38,18,1,1,0
2021,Iowa State,Big 12,16,10,1,1,0
2021,USC,Pac-12,30,7,1,1,0
2021,Oklahoma State,Big 12,23,16,1,1,0
2021,Auburn,SEC,60,10,1,1,0
2021,Purdue,Big Ten,30,21,1,1,0
2021,South Carolina,SEC,46,0,1,1,0
2021,Florida,SEC,35,14,1,1,0
2021,Illinois,Big Ten,30,37,0,1,1
2021,Georgia Tech,ACC,21,22,0,1,1
2021,Virginia,ACC,43,0,1,1,0
2021,Clemson,ACC,3,10,0,1,1
2021,Texas A&M,SEC,41,10,1,1,0
2021,Vanderbilt,SEC,3,23,0,1,1
2021,TCU,Big 12,45,3,1,1,0
2021,Washington,Pac-12,7,13,0,1,1
2021,UCLA,Pac-12,38,27,1,1,0
2021,Arizona,Pac-12,16,24,0,1,1
2021,California,Pac-12,17,22,0,1,1
2021,Washington State,Pac-12,23,26,0,1,1
2021,Florida State,ACC,38,41,0,1,1
2021,Ole Miss,SEC,43,24,1,1,0
2021,Duke,ACC,45,17,1,1,0
2021,Virginia,ACC,42,14,1,1,0
2021,Georgia Tech,ACC,45,17,1,1,0
2021,Michigan State,Big Ten,42,14,1,1,0
2021,Wake Forest,ACC,41,16,1,1,0
2021,Ohio State,Big Ten,28,35,0,1,1
2021,Tennessee,SEC,34,41,0,1,1
2021,Minnesota,Big Ten,31,26,1,1,0
2021,Auburn,SEC,62,0,1,1,0
2021,Oklahoma State,Big 12,28,23,1,1,0
2021,Northwestern,Big Ten,24,6,1,1,0
2021,Syracuse,ACC,7,17,0,1,1
2021,Virginia Tech,ACC,35,14,1,1,0
2021,Georgia,SEC,56,7,1,1,0
2021,Colorado,Pac-12,7,10,0,1,1
2021,Nebraska,Big Ten,28,3,1,1,0
2021,Penn State,Big Ten,44,13,1,1,0
2021,TCU,Big 12,34,32,1,1,0
2021,Alabama,SEC,48,14,1,1,0
2021,Iowa State,Big 12,17,27,0,1,1
2021,Clemson,ACC,49,3,1,1,0
2021,West Virginia,Big 12,66,0,1,1,0
2021,Washington State,Pac-12,44,24,1,1,0
2021,Baylor,Big 12,66,7,1,1,0
2021,Kansas State,Big 12,31,23,1,1,0
2021,Oklahoma,Big 12,76,0,1,1,0
2021,Louisville,ACC,30,3,1,1,0
2021,Texas Tech,Big 12,28,22,1,1,0
2021,Miami,ACC,25,23,1,1,0
2021,Wisconsin,Big Ten,34,7,1,1,0
2021,Arkansas,SEC,40,21,1,1,0
2021,Mississippi State,SEC,24,10,1,1,0
2021,Kentucky,SEC,35,28,1,1,0
2021,North Carolina,ACC,59,17,1,1,0
2021,Ole Miss,SEC,54,17,1,1,0
2021,Indiana,Big Ten,56,14,1,1,0
2021,Maryland,Big Ten,62,0,1,1,0
2021,LSU,SEC,34,7,1,1,0
2021,Florida State,ACC,17,20,0,1,1
2021,Michigan,Big Ten,31,10,1,1,0
2021,Arizona,Pac-12,14,38,0,1,1
2021,USC,Pac-12,28,42,0,1,1
2021,Arizona State,Pac-12,37,10,1,1,0
2021,Oregon State,Pac-12,45,27,1,1,0
2021,Louisville,ACC,42,35,1,1,0
2021,Illinois,Big Ten,17,20,0,1,1
2021,Tennessee,SEC,56,0,1,1,0
2021,Syracuse,ACC,62,24,1,1,0
2021,Miami,ACC,17,38,0,1,1
2021,West Virginia,Big 12,27,21,1,1,0
2021,Missouri,SEC,59,28,1,1,0
2021,Oklahoma,Big 12,23,16,1,1,0
2021,Michigan,Big Ten,63,10,1,1,0
2021,Pittsburgh,ACC,41,44,0,1,1
2021,Indiana,Big Ten,24,38,0,1,1
2021,Texas A&M,SEC,34,0,1,1,0
2021,Kentucky,SEC,28,23,1,1,0
2021,Colorado,Pac-12,0,30,0,1,1
2021,Kansas State,Big 12,38,17,1,1,0
2021,Kansas,Big 12,7,45,0,1,1
2021,Florida,SEC,29,31,0,1,1
2021,Washington State,Pac-12,14,45,0,1,1
2021,Ohio State,Big Ten,41,20,1,1,0
2021,Iowa,Big Ten,30,7,1,1,0
2021,Wake Forest,ACC,35,14,1,1,0
2021,Oregon State,Pac-12,42,0,1,1,0
2021,Clemson,ACC,14,8,1,1,0
2021,Rutgers,Big Ten,45,13,1,1,0
2021,Arkansas,SEC,45,10,1,1,0
2021,Duke,ACC,30,23,1,1,0
2021,California,Pac-12,42,30,1,1,0
2021,Washington,Pac-12,52,3,1,1,0
2021,Georgia,SEC,40,13,1,1,0
2021,Texas Tech,Big 12,54,21,1,1,0
2021,Penn State,Big Ten,28,20,1,1,0
2021,Oregon,Pac-12,48,7,1,1,0
2021,NC State,ACC,45,7,1,1,0
2021,North Carolina,ACC,59,39,1,1,0
2021,LSU,SEC,49,21,1,1,0
2021,Vanderbilt,SEC,23,41,0,1,1
2021,Ole Miss,SEC,61,21,1,1,0
2021,Texas,Big 12,58,0,1,1,0
