Season,Team,Conference,Points_for,Points_against
2021,Illinois,Big Ten,30,22
2021,Fresno State,Mountain West,45,0
2021,Central State (OH),SIAC,6,20
2021,UCLA,Pac-12,44,10
2021,Indiana State,MVFC,26,21
2021,North Carolina Central,MEAC,23,14
2021,New Mexico State,FBS Independents,3,30
2021,San José State,Mountain West,45,14
2021,Jacksonville State,AWC,0,31
2021,Wayne State (MI),GLIAC,21,24
2021,Wingate,South Atlantic,30,7
2021,Stony Brook,CAA,21,27
2021,UCF,American Athletic,36,31
2021,Upper Iowa University,Northern Sun,14,41
2021,Mars Hill,South Atlantic,24,30
2021,Mercer,Southern,69,0
2021,Drake,Pioneer,45,3
2021,Samford,Southern,52,14
2021,Youngstown State,MVFC,44,41
2021,Maine,CAA,24,34
2021,West Liberty,Mountain East,6,27
2021,Fairmont State,Mountain East,14,23
2021,Carson-Newman College,South Atlantic,7,45
2021,Coastal Carolina,Sun Belt,52,14
2021,Kentucky Wesleyan,Great Midwest Athletic,13,20
2021,Delta State,Gulf South,48,14
2021,Wayne State (NE),Northern Sun,34,27
2021,Lincoln (MO),Mid America,12,76
2021,Minnesota State Mankato,Northern Sun,40,34
2021,Sioux Falls,Northern Sun,16,24
2021,Arkansas-Monticello,Great American,30,23
2021,Southwestern Oklahoma State,Great American,13,31
2021,Northwestern Oklahoma State,Great American,13,32
2021,Ouachita Baptist,Great American,38,31
2021,Lindenwood,Great Lakes,20,40
2021,Ohio Dominican,Great Midwest Athletic,30,35
2021,Mississippi College,Gulf South,0,24
2021,Northwood (MI),GLIAC,21,28
2021,Millersville,Pennsylvania State Athletic,9,14
2021,Ball State,Mid-American,31,21
2021,Seton Hill,Pennsylvania State Athletic,16,14
2021,Arkansas Tech,Great American,20,38
2021,Buffalo,Mid-American,69,7
2021,East Stroudsburg University,Pennsylvania State Athletic,35,14
2021,NC State,ACC,45,0
2021,Ferris State,GLIAC,54,14
2021,Southeast Missouri State,OVC,21,47
2021,Chattanooga,Southern,20,30
2021,App State,Sun Belt,33,19
2021,Tulsa,American Athletic,17,19
2021,Utah,Pac-12,40,17
2021,Western Kentucky,Conference USA,59,21
2021,Tennessee,SEC,38,6
2021,Minnesota,Big Ten,31,45
2021,South Dakota Mines,Rocky Mountain,34,31
2021,Southwest Minnesota State,Northern Sun,21,33
2021,Fort Hays State,Mid America,7,15
2021,Central Oklahoma,Mid America,24,20
2021,Central Missouri,Mid America,16,35
2021,Colorado Mesa,Rocky Mountain,40,3
2021,CSU Pueblo,Rocky Mountain,6,12
2021,Winona State,Northern Sun,47,6
2021,New Mexico,Mountain West,27,17
2021,Eastern New Mexico,Lone Star,24,66
2021,Kennesaw State,Big South,35,25
2021,Murray State,OVC,35,0
2021,Nebraska-Kearney,Mid America,38,0
2021,Colorado School Of Mines,Rocky Mountain,42,3
2021,Florida International,Conference USA,48,10
2021,West Texas A&M,Lone Star,73,0
2021,Northern Arizona,Big Sky,16,42
2021,UNLV,Mountain West,33,35
2021,Arizona State,Pac-12,41,14
2021,Central Connecticut,NEC,21,28
2021,Virginia Tech,ACC,17,10
2021,Bentley,Northeast 10,41,17
2021,Eastern Michigan,Mid-American,35,15
2021,Wake Forest,ACC,42,10
2021,Charlotte,Conference USA,31,28
2021,Kansas,Big 12,17,14
2021,Colorado,Pac-12,35,7
2021,Colorado State,Mountain West,23,42
2021,Northwestern,Big Ten,21,38
2021,Rutgers,Big Ten,61,14
2021,Oklahoma,Big 12,40,35
2021,Kansas State,Big 12,24,7
2021,Georgia State,Sun Belt,10,43
2021,Kentucky,SEC,45,10
2021,Michigan,Big Ten,47,14
2021,Wisconsin,Big Ten,10,16
2021,Lehigh,Patriot,3,47
2021,Boston College,ACC,51,0
2021,UConn,FBS Independents,28,38
2021,Davenport,GLIAC,14,31
2021,Notre Dame College,Mountain East,42,35
2021,Shorter,Gulf South,38,14
2021,UVA Wise,South Atlantic,54,0
2021,Bluefield State,Independent DII,14,21
2021,Southwest Baptist,Great Lakes,16,24
2021,Nebraska,Big Ten,52,7
2021,Kutztown University,Pennsylvania State Athletic,19,0
2021,St. Augustine's,CIAA,14,58
2021,Merrimack,NEC,55,23
2021,New Haven,Northeast 10,30,14
2021,Catawba,South Atlantic,37,27
2021,Shippensburg,Pennsylvania State Athletic,25,17
2021,MARIAN (IN,,10,34
2021,McNeese,Southland,36,42
2021,VMI,Southern,45,24
2021,Quincy,Great Lakes,27,48
2021,Air Force,Mountain West,35,14
2021,Arkansas,SEC,38,17
2021,Wilson,Independent DII,7,31
2021,McKendree,Great Lakes,20,27
2021,Fort Lewis,Rocky Mountain,7,44
2021,Augustana University (SD),Northern Sun,49,0
2021,Michigan Tech,GLIAC,14,10
2021,Richmond,CAA,38,14
2021,Furman,Southern,29,18
2021,Elon,CAA,22,24
2021,Oregon,Pac-12,31,24
2021,Stonehill,Northeast 10,35,13
2021,Western Colorado,Rocky Mountain,23,10
2021,Idaho State,Big Sky,14,35
2021,North Dakota State,MVFC,28,6
2021,Miami,ACC,13,44
2021,Cincinnati,American Athletic,49,14
2021,Maryland,Big Ten,30,24
2021,Navy,American Athletic,7,49
2021,Iowa,Big Ten,34,6
2021,Mississippi State,SEC,35,34
2021,Pittsburgh,ACC,51,7
2021,Missouri,SEC,34,24
2021,Wyoming,Mountain West,19,16
2021,Idaho,Big Sky,68,0
2021,Presbyterian,Pioneer,84,43
2021,Morgan State,MEAC,0,31
2021,San Diego,Pioneer,17,28
2021,Delaware State,MEAC,32,24
2021,Elizabeth City State,CIAA,6,47
2021,Texas,Big 12,38,18
2021,Iowa State,Big 12,16,10
2021,USC,Pac-12,30,7
2021,Hampton,Big South,42,28
2021,Lincoln (PA),CIAA,0,20
2021,Livingstone,CIAA,10,13
2021,Clarion,Pennsylvania State Athletic,26,31
2021,James Madison,CAA,68,10
2021,Liberty,FBS Independents,48,7
2021,Western Carolina,Southern,28,31
2021,Virginia St,CIAA,7,48
2021,Rhode Island,CAA,45,21
2021,Indiana Wesleyan,,28,10
2021,Alabama State,SWAC,14,13
2021,Sacred Heart,NEC,21,0
2021,Stetson,Pioneer,54,14
2021,Mercyhurst,Pennsylvania State Athletic,18,3
2021,Georgia Southern,Sun Belt,30,25
2021,Benedict College,SIAC,45,12
2021,Oklahoma State,Big 12,23,16
2021,Auburn,SEC,60,10
2021,Ohio,Mid-American,9,29
2021,Houston,American Athletic,21,38
2021,Middle Tennessee,Conference USA,50,15
2021,Adams State,Rocky Mountain,17,35
2021,Northeastern State,Mid America,7,38
2021,St. Xavier IL,,10,34
2021,Stephen F. Austin,AWC,20,10
2021,Purdue,Big Ten,30,21
2021,Harding University,Great American,28,0
2021,North Alabama,Big South,28,49
2021,Texas State,Sun Belt,20,29
2021,South Carolina,SEC,46,0
2021,North Greenville,Gulf South,37,16
2021,West Alabama,Gulf South,48,7
2021,SMU,American Athletic,56,9
2021,Toledo,Mid-American,49,10
2021,Memphis,American Athletic,42,17
2021,Arkansas State,Sun Belt,40,21
2021,Troy,Sun Belt,55,3
2021,Saginaw Valley State,GLIAC,13,9
2021,Valdosta State,Gulf South,53,7
2021,Arkansas-Pine Bluff,SWAC,34,16
2021,Alabama A&M,SWAC,42,41
2021,Illinois State,MVFC,49,7
2021,Florida,SEC,35,14
2021,Illinois,Big Ten,30,37
2021,Georgia Tech,ACC,21,22
2021,Virginia,ACC,43,0
2021,North Texas,Conference USA,44,14
2021,Clemson,ACC,3,10
2021,South Alabama,Sun Belt,31,7
2021,Texas A&M,SEC,41,10
2021,Vanderbilt,SEC,3,23
2021,Texas Southern,SWAC,17,40
2021,TCU,Big 12,45,3
2021,Washington,Pac-12,7,13
2021,UCLA,Pac-12,38,27
2021,Utah Tech,AWC,7,19
2021,UTEP,Conference USA,38,28
2021,Arizona,Pac-12,16,24
2021,San Diego State,Mountain West,28,10
2021,California,Pac-12,17,22
2021,Washington State,Pac-12,23,26
2021,Hawai'i,Mountain West,49,35
2021,Florida A&M,SWAC,6,7
2021,Grambling,SWAC,16,10
2021,Tuskegee,SIAC,0,30
2021,Florida State,ACC,38,41
2021,Ole Miss,SEC,43,24
2021,Glenville State,Mountain East,17,10
2021,Wheeling,Mountain East,15,31
