Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,107494,Trey Sanders,RB,Alabama,SEC,0.095,0.015,0.188,0.097,0.116,0.054,0.119,0.042
2021,136429,Cedric Patterson III,WR,Rice,CUSA,0.074,0.166,0.008,0.061,0.054,0.14,0.053,0.118
2021,241161,TJ Jones,RB,Western Carolina,,0.127,0.108,0.154,0.174,0.091,0,0.162,0.077
2021,501312,Justin Brown,WR,Southern Utah,,0.079,0.161,0,0.12,0.048,0,0.109,0
2021,3682406,Daniel Imatorbhebhe,TE,Kansas State,B12,0.038,0.079,0,0.034,0.03,0.051,0.029,0.056
2021,3707332,Dahu Green,WR,Arkansas State,SBC,0.056,0.088,0,0.077,0.044,0.034,0.069,0.033
2021,3895797,Tre Tipton,WR,Pittsburgh,ACC,0.022,0.038,0,0.03,0.013,0.021,0.023,0.018
2021,3908606,Bryce Jefferson,WR,Illinois State,,0.545,1,0.136,0.25,0.786,0.667,0.286,0.783
2021,3915827,Jonathan Giles,WR,Texas Southern,,0.16,0.344,0,0.138,0.05,0.286,0.133,0.208
2021,3916389,Trey Smith,RB,Wyoming,MWC,0.047,0.011,0.065,0.052,0.057,0.02,0.049,0.04
2021,3917680,Bradrick Shaw,RB,Northern Iowa,,0.033,0,0.083,0,0,0.118,0.059,0
2021,3926231,Britain Covey,WR,Utah,PAC,0.078,0.148,0.023,0.071,0.087,0.083,0.069,0.103
2021,3931221,Wesley Wolfolk,WR,Morgan State,,0.154,0.273,0.067,0.083,0.375,0,0.071,0.25
2021,3932906,Danzel McKinley-Lewis,WR,Toledo,MAC,0.037,0.072,0,0.029,0.045,0.037,0.028,0.053
2021,4027382,Chuby Dunu,RB,Cal Poly,,0.139,0,0.313,0.179,0.125,0.105,0.208,0
2021,4027398,Quentin Harrison,WR,Cal Poly,,0.042,0.075,0,0.036,0.042,0.053,0.063,0
2021,4027419,Eric Barriere,QB,Eastern Washington,,0.603,0.974,0.194,0.515,0.621,0.75,0.527,0.783
2021,4027439,Talolo Limu-Jones,TE,Eastern Washington,,0.013,0,0.028,0.03,0,0,0.018,0
2021,4027873,Samori Toure,WR,Nebraska,B1G,0.076,0.157,0.013,0.077,0.064,0.094,0.07,0.093
2021,4027961,Robbie Lofton,WR,Eastern Illinois,,0.024,0.048,0,0.053,0,0,0.033,0
2021,4028076,Davis Alexander,QB,Portland State,,0.726,0.979,0.245,0.696,0.688,0.88,0.7,0.783
2021,4028235,BJ Perkinson,RB,Sacramento State,,0.092,0.093,0.095,0.03,0.167,0.111,0.061,0.148
2021,4029426,Chris Booker,WR,Ohio State,B1G,0.023,0.045,0,0.042,0,0,0.03,0
2021,4029558,Jared Harrell,WR,UC Davis,,0.125,0.263,0,0.088,0.074,0.278,0.074,0.231
2021,4029577,Khris Vaughn,WR,UC Davis,,0.025,0.053,0,0,0.037,0.056,0.019,0.038
2021,4029728,Kameron Brown,WR,Coastal Carolina,SBC,0.069,0.163,0,0.065,0.085,0.057,0.055,0.114
2021,4029744,Geoffrey Wall,WR,Charleston Southern,,0.084,0.132,0,0.113,0.057,0.077,0.087,0.079
2021,4029857,Ezra Naylor,WR,Tulsa,AAC,0.056,0.121,0,0.044,0.053,0.095,0.046,0.079
2021,4030372,Lonnie Moore,WR,Monmouth,,0.107,0.195,0,0.2,0.08,0,0.132,0.045
2021,4030552,Macklin Kortebein,RB,Bryant,,0.035,0.071,0,0.042,0.048,0,0.026,0.056
2021,4030627,Donnell Williams,WR,UT Martin,,0.117,0.205,0,0.129,0.038,0.211,0.118,0.115
2021,4030676,Tommy McIntyre,TE,SMU,AAC,0.02,0.037,0,0.021,0.019,0.02,0.018,0.024
2021,4030797,Anthony B. Williams,TE,Norfolk State,,0.029,0.063,0,0.069,0,0,0.049,0
2021,4030926,Isaiah Weston,WR,Northern Iowa,,0.067,0.111,0,0.048,0,0.176,0.059,0.077
2021,4030947,Drew Estrada,WR,Baylor,B12,0.069,0.142,0.013,0.07,0.078,0.058,0.065,0.077
2021,4031136,Connor Sampson,QB,Western Illinois,,0.712,1,0.143,0.643,0.696,0.846,0.66,0.842
2021,4031140,Clint Ratkovich,RB,Northern Illinois,MAC,0.12,0.051,0.161,0.095,0.102,0.178,0.142,0.073
2021,4032198,Breylin Smith,QB,Central Arkansas,,0.71,1,0.053,0.643,0.773,0.75,0.641,0.826
2021,4032201,Kierre Crossley,RB,Arkansas-Pine Bluff,,0.259,0.083,0.382,0.458,0.158,0.071,0.314,0.174
2021,4032247,Raleigh Webb,WR,The Citadel,,0.053,0.4,0.019,0.087,0.05,0,0.045,0.077
2021,4032473,Rashid Shaheed,WR,Weber State,,0.095,0.147,0.037,0.08,0.15,0.063,0.079,0.12
2021,4032491,Aubry Payne,TE,Georgia State,SBC,0.057,0.153,0.003,0.054,0.065,0.043,0.051,0.071
2021,4032504,Daquan Patten,WR,Western Carolina,,0.016,0.027,0,0,0,0.067,0,0.038
2021,4032528,Nick Lorden,WR,New Hampshire,,0.019,0.038,0,0,0,0.083,0,0.048
2021,4032570,Anthony Mague,WR,William & Mary,,0.019,0.059,0,0.045,0,0,0.03,0
2021,4032625,Ra'Shaun Henry,WR,Virginia,ACC,0.065,0.099,0,0.067,0.055,0.065,0.062,0.071
2021,4032739,Joey Kenny,TE,Rhode Island,,0.036,0.095,0,0.083,0,0,0.056,0
2021,4032822,Mason Sikes,TE,Western Illinois,,0.015,0.023,0,0,0.043,0,0,0.053
2021,4032869,Kendrick Price,WR,Northwestern State,,0.017,0.04,0,0,0.05,0,0,0.059
2021,4033850,Tyquell Fields,QB,Stony Brook,,0.468,1,0.132,0.25,0.55,0.625,0.326,0.789
2021,4034303,Chris Ferguson,QB,Towson,,0.638,0.949,0,0.5,0.7,0.846,0.455,0.88
2021,4034306,Josh Mack,RB,Liberty,Ind,0.155,0.029,0.283,0.21,0.127,0.102,0.197,0.061
2021,4034607,Liam Welch,QB,Samford,,0.787,1,0.419,0.769,0.839,0.688,0.783,0.793
2021,4034675,Ben Ratzlaff,WR,Western Kentucky,CUSA,0.02,0.029,0,0.022,0.013,0.015,0.026,0
2021,4034772,Seth Green,TE,Houston,AAC,0.024,0.047,0,0.016,0.029,0.019,0.019,0.033
